title	developer	publisher	release date	
Shakedown: Hawaii	Vblank Entertainment	Vblank Entertainment	000000002019-13-31-00002019	
Persona Q2: New Cinema Labyrinth	Atlus	Atlus	<span data-sort-value="000000002019-06-04-0000" style="white-space:nowrap">June 4, 2019
Zara the Fastest Fairy	Famous Gamous	Famous Gamous	<span data-sort-value="000000002019-04-18-0000" style="white-space:nowrap">April 18, 2019	
Horror Stories	RandomSpin	RandomSpin	<span data-sort-value="000000002019-03-21-0000" style="white-space:nowrap">March 21, 2019	
'Kirby''s Extra Epic Yarn'	Good-Feel	Nintendo	<span data-sort-value="000000002019-03-08-0000" style="white-space:nowrap">March 8, 2019	
Lifespeed	Wee Man Studios	Wee Man Studios	<span data-sort-value="000000002019-02-25-0000" style="white-space:nowrap">February 25, 2019	
Love Hero	Butterfly	Batafurai	<span data-sort-value="000000002019-02-14-0000" style="white-space:nowrap">February 14, 2019	
Pinball Breaker	nuGAME	nuGAME	<span data-sort-value="000000002019-02-14-0000" style="white-space:nowrap">February 14, 2019	
Yo-kai Watch 3: Sukiyaki	Level 5	Level 5, Nintendo	<span data-sort-value="000000002019-02-08-0000" style="white-space:nowrap">February 8, 2019	
Yo-kai Watch 3: Sushi	Level 5	Level 5, Nintendo	<span data-sort-value="000000002019-02-08-0000" style="white-space:nowrap">February 8, 2019	
Yo-kai Watch 3: Tempura	Level 5	Level 5, Nintendo	<span data-sort-value="000000002019-02-08-0000" style="white-space:nowrap">February 8, 2019	
Vera Swings	Brett Yeager	Brett Yeager	<span data-sort-value="000000002019-02-07-0000" style="white-space:nowrap">February 7, 2019	
Etrian Odyssey Nexus	Atlus	Atlus	<span data-sort-value="000000002019-02-05-0000" style="white-space:nowrap">February 5, 2019	
Azure Snake	RandomSpin	RandomSpin	<span data-sort-value="000000002019-01-24-0000" style="white-space:nowrap">January 24, 2019	
'Dragon''s Wrath'	Codeglue	Gamers Digital	<span data-sort-value="000000002019-01-17-0000" style="white-space:nowrap">January 17, 2019	
Phasmophobia: Hall of Specters 3D	In-D Gaming	In-D Gaming	<span data-sort-value="000000002019-01-17-0000" style="white-space:nowrap">January 17, 2019	
'Mario & Luigi: Bowser''s Inside Story + Bowser Jr.''s Journey'	AlphaDream	Nintendo	<span data-sort-value="000000002019-01-11-0000" style="white-space:nowrap">January 11, 2019	
Operation Cobra	StickBit	Bidement Entertainment	<span data-sort-value="000000002019-01-11-0000" style="white-space:nowrap">January 11, 2019	
RTO 3	nuGAME	nuGAME	<span data-sort-value="000000002019-01-03-0000" style="white-space:nowrap">January 3, 2019	
PixelMaker Studio	Nostatic Software	Nostatic Software	<span data-sort-value="000000002018-11-29-0000" style="white-space:nowrap">November 29, 2018	
Japanese Rail Sim 3D: 5 Types of Trains	Sonic Powered	Sonic Powered	<span data-sort-value="000000002018-11-22-0000" style="white-space:nowrap">November 22, 2018	
RTO 2	nuGAME	nuGAME	<span data-sort-value="000000002018-11-22-0000" style="white-space:nowrap">November 22, 2018	
Pinball Breakout 2	nuGAME	nuGAME	<span data-sort-value="000000002018-11-15-0000" style="white-space:nowrap">November 15, 2018	
Cube Creator DX	Arc System Works	Arc System Works	<span data-sort-value="000000002018-11-08-0000" style="white-space:nowrap">November 8, 2018	
Insect Planet TD	RandomSpin	RandomSpin	<span data-sort-value="000000002018-10-25-0000" style="white-space:nowrap">October 25, 2018	
Petite Zombies	RandomSpin	RandomSpin	<span data-sort-value="000000002018-10-18-0000" style="white-space:nowrap">October 18, 2018	
'Luigi''s Mansion'	Grezzo	Nintendo	<span data-sort-value="000000002018-10-12-0000" style="white-space:nowrap">October 12, 2018	
Triple Breakout	nuGAME	nuGAME	<span data-sort-value="000000002018-10-11-0000" style="white-space:nowrap">October 11, 2018	
Pinball Breakout	nuGAME	nuGAME	<span data-sort-value="000000002018-10-04-0000" style="white-space:nowrap">October 4, 2018	
Jake Hunter Detective Story: Ghost of the Dusk	Arc System Works	Arc System Works	<span data-sort-value="000000002018-09-28-0000" style="white-space:nowrap">September 28, 2018	
Yo-kai Watch Blasters: Moon Rabbit Crew	Level 5	Level 5, Nintendo	<span data-sort-value="000000002018-09-27-0000" style="white-space:nowrap">September 27, 2018	
Yo-kai Watch Blasters: Red Cat Corps	Level 5	Level 5, Nintendo	<span data-sort-value="000000002018-09-07-0000" style="white-space:nowrap">September 7, 2018	
Yo-kai Watch Blasters: White Dog Squad	Level 5	Level 5, Nintendo	<span data-sort-value="000000002018-09-07-0000" style="white-space:nowrap">September 7, 2018	
Breakout Defense	nuGAME	nuGAME	<span data-sort-value="000000002018-09-06-0000" style="white-space:nowrap">September 6, 2018	
Double Breakout	nuGAME	nuGAME	<span data-sort-value="000000002018-09-06-0000" style="white-space:nowrap">September 6, 2018	
Space Defender Battle Infinity	Denvzla Estudio	Denvzla Estudio	<span data-sort-value="000000002018-09-06-0000" style="white-space:nowrap">September 6, 2018	
WarioWare Gold	Nintendo	Nintendo	<span data-sort-value="000000002018-08-03-0000" style="white-space:nowrap">August 3, 2018	
Sanrio characters Picross	Jupiter	Jupiter	<span data-sort-value="000000002018-07-19-0000" style="white-space:nowrap">July 19, 2018	
Captain Toad: Treasure Tracker	Nintendo EPD	Nintendo	<span data-sort-value="000000002018-07-13-0000" style="white-space:nowrap">July 13, 2018	
